id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
08fa8100d98abd1c031cef4f718ca8bd,espaco.brazuca,Espaço Brazuca,"Rua Banco das Palmas, 145","Rua Banco das Palmas, 145",São Paulo,SP,restaurant,Dining and Drinking > Restaurant,0.28686635944700467,1.0,conflict,"",""
08fa8a0613483728030dd803ffe085d3,Geomecânica,Geomecânica S/A,Rua Bela 1128,,Rio de Janeiro,RJ,engineering_services,Business and Professional Services > Office,0.8606545961002786,1.0,conflict,"",""
08fa813b222f2c1e03f7aca38bf90b4e,Work Medicina Ocupacional,Work Medicina Ocupacional S/C Ltda,"Rua Visconde de Taunay, 335","Rua Tiradentes, 217",Campinas,SP,hospital,Health and Medicine > Physician,0.48103896103896104,1.0,conflict,"",""
08f444e180261b4d032aaeb179c3c442,Tommy's Express Car Wash,Tommy's Express® Car Wash,800 Sterlington Rd,800 Sterlington Rd.,Monroe,LA,car_wash,car_wash,0.997898979043525,0.77,conflict,"",""
08f1e3605210bbab0346d7383d230943,Schreinerei Baier Kurt,Schreinerei Kurt Baier,Schwarzachstraße 13,Schwarzachstr. 13,Schönthal,,carpenter,Retail > Construction Supplies Store,0.9828411287205256,1.0,conflict,"",""
08f651cca5b5202b03e606c3c73328ac,ราชา บะหมี่เกี๊ยว,ราชาบะหมี่เกี๊ยว,,,,,chinese_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Noodle Restaurant,0.3941504178272981,1.0,conflict,"",""
08f2a106d34a4cf203d9fcde81ae8136,Fox Trail Memory Care Living at South River,Fox Trail Memory Care Living,69 Burton Ave,69 Burton Ave,South River,NJ,retirement_home,assisted_living_facility,0.9962614185921548,0.77,conflict,"",""
08f2a36c0344bc820337ca0f2e8822f2,bp America,BP,36 Main St,36 Main St,Lincoln,NH,gas_station,gas_station,0.9837452982267598,0.77,conflict,"",""
08f498c94cd093b20333437c7c397280,Lonches Amparito Tránsito,Lonches Amparito,Calle Félix Fulgencio Palavicini 2254,Félix Palaviccini 2254,Guadalajara,,sandwich_shop,Dining and Drinking > Restaurant > Sandwich Spot,0.6214335421016005,1.0,conflict,"",""
08f2e61042d24ada03990ad8a9070a17,百十,百十 なんばこめじるし店,浪速区難波中2丁目10-25,浪速区難波中2-10-25,,,restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Monjayaki Restaurant,0.9837452982267598,1.0,conflict,"",""
2251799821286742,Swiftbooks,Swiftbooks LLC,12150 SW 128 Ct Ste 212,12150 SW 128 Ct Ste 221,Miami,FL,accountant,accountant,0.77,0.77,conflict,"",""
08fc203609766b2e03adc81852d54f07,"Maria Bonita, Maria del Alma",Maria Bonita,Alvarado 2085,Alvarado 2085,Mar del Plata,B,mexican_restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,0.9908651262761956,1.0,conflict,"",""
08f2a9150cd0508003581d4a8325cdc4,Craig's,Craig's Shoes & Sports,1270 US 22 W,"1270 US Rt. 22 NW, Suite 9",Washington Court House,OH,sports_wear,Retail > Sporting Goods Retail,0.9837452982267598,1.0,conflict,"",""
08f1eb535017124e034ea6a8818ccedc,Istituto Figlie di San Francesco,Istituto Figlie di S. Francesco,"Via Andrea Pisano, 56",Via Andrea Pisano 56,Pisa,52,preschool,Community and Government > Spiritual Center > Church,0.9837452982267598,1.0,conflict,"",""
08f1e819a260b74d031a7c47fed5a746,Hotel Olimpia  Silvi Marina TE,Hotel Olimpia,"Via Giovanni Pascoli, 16",Via Giovanni Pascoli 18,Silvi,65,hotel,Travel and Transportation > Lodging > Hotel,0.48103896103896104,1.0,conflict,"",""
08fa822010a830b2037f3c0c62de33fa,Cantão do Garimpo,Cantão,"Rua Antônio José Corrêa, 366",Rua Antônio José Corrêa 366,Rio Negro,PR,furniture_store,retail,0.9858576051779935,0.77,conflict,"",""
08f194db5b6b41b603a43ab00a1af2f2,Apotheek Luc Van Bellinghen,Apotheek Van Bellinghen Luc,Stationsstraat 247,Stationsstraat 247,Herzele,,vitamins_and_supplements,Retail > Pharmacy,0.9837452982267598,1.0,conflict,"",""
08fbe0e35d9928b503a627126ac33fbe,F45,F45 Training Pyrmont,55 Pyrmont Bridge Road,17 Pyrmont Bridge Road,Pyrmont,New South Wales,gym,gym,0.77,0.77,conflict,"",""
08f44a10427aa30403ae784f848c6402,KIDZ Pediatric Gastroenterology & Nutrition,KIDZ Pediatric Gastroenterology,3800 Johnson St Ste J,3800 Johnson St Ste J,Hollywood,FL,pediatrician,pediatrician,0.77,0.77,conflict,"",""
08f60a25956e9c3203411ea2c362c408,Profile Publishing Location Name - Suite,Profile Publishing Location 1,1766 Palo Verde Ave,1766 Palo Verde Ave,East Palo Alto,CA,automotive,automotive,0.77,0.77,conflict,"",""
08f195db493431320381b4048d82235d,ATM (Post Office),Atm,"345 Hertford Road, Lower Edmonton",345 Hertford Rd,London,"",atms,,0.77,1.0,conflict,"",""
08f2748c567756cb03490bd76febdb5b,iChiro Clinics/Peak Performance Integrated Medicine North Office,iChiro Clinics,4150 E Beltline Ave NE,4150 E Beltline Ave NE Ste 3,Grand Rapids,MI,chiropractor,massage,0.9962614185921548,0.77,conflict,"",""
08f1f10114810808039880fe9ebe7eaa,Kreutzer Taxi,"Kreutzer, Otto Taxidienst",Nienburger Str. 66,Nienburger Str. 66,Rehden,"",taxi_service,Travel and Transportation > Transportation Service > Taxi,0.77,1.0,conflict,"",""
08f29a0d698a1d6b0342a87ddd0dcb58,Farmers Insurance Bernardina Maldonado,Farmers Insurance - Bernardina Maldonado,40119 Murrieta Hot Springs Rd,40119 Murrieta Hot Springs Rd,Murrieta,CA,insurance_agency,auto_insurance,0.9828411287205256,0.77,conflict,"",""
