agreement_type,id,alt_primary,base_primary,alt_names_json,base_names_json,alt_address,base_address,city,state,alt_confidence,base_confidence
full_agreement,08f2a9c7a3872d4b03ac5ab452cbe565,Redbox,Redbox,"{""primary"":""Redbox""}","{""primary"":""Redbox""}",Us 60 & 4th St,Us 60 & 4th St,Ceredo,WV,0.77,0.77
full_agreement,08f2a9ed256210710308baf728ff2b94,Family Dollar,Family Dollar,"{""primary"":""Family Dollar""}","{""primary"":""Family Dollar""}",17330 State Route 247,17330 State Route 247,Seaman,OH,0.9962614185921548,0.77
full_agreement,08f2aa1cec78b6550365baa57c038ef2,First National Bank,First National Bank,"{""primary"":""First National Bank""}","{""primary"":""First National Bank""}",111 Ziegler Rd,111 Ziegler Rd,Lewisburg,PA,0.77,0.77
full_agreement,08f2aa419d72b04103961e80be2a5836,Walgreens,Walgreens,"{""primary"":""Walgreens""}","{""primary"":""Walgreens""}",226 Liberty St,226 Liberty St,Penn Yan,NY,0.9962614185921548,0.77
full_agreement,08f2aa4d98923b4503b1be6672e9cf20,Dunkin',Dunkin',"{""primary"":""Dunkin'""}","{""primary"":""Dunkin'""}",544 E Main St,544 E Main St,Palmyra,NY,0.9962614185921548,0.77
full_agreement,08f2aa6524b204d80374531f4a5f9685,Sprint Store,Sprint Store,"{""primary"":""Sprint Store""}","{""primary"":""Sprint Store""}",3701 Mckinley Pkwy Ste 1066,3701 Mckinley Pkwy,Blasdell,NY,0.77,0.77
full_agreement,08f2aa84e009050403f20504c1c32b68,First National Bank,First National Bank,"{""primary"":""First National Bank""}","{""primary"":""First National Bank""}",5229 River Rd,5229 River Rd,Bethesda,MD,0.77,0.77
full_agreement,08f2aa84e446146103061e3cce927c6a,JRbrows and Skin studio,JRbrows and Skin studio,"{""primary"":""JRbrows and Skin studio""}","{""primary"":""JRbrows and Skin studio""}",4641 Montgomery Ave,4641 Montgomery Ave Ste 20,Bethesda,MD,0.9858576051779935,0.77
full_agreement,08f2aa87330ca7a903957473b2acce21,Papa John's Pizza,Papa John's Pizza,"{""primary"":""Papa John's Pizza""}","{""primary"":""Papa John's Pizza""}",7801 Parston Dr,7801-B Parston Dr,District Heights,MD,0.9962614185921548,0.77
full_agreement,08f2aa8c2116153403b1841673cd148d,DaVita Loch Raven Dialysis,DaVita Loch Raven Dialysis,"{""primary"":""DaVita Loch Raven Dialysis""}","{""primary"":""DaVita Loch Raven Dialysis""}",5315 York Rd,5315 York Rd,Baltimore,MD,0.77,0.77
full_agreement,08f2aab52140802c0395a9524fcac41d,Liberty Tax,Liberty Tax,"{""primary"":""Liberty Tax""}","{""primary"":""Liberty Tax""}",3801 Plank Rd,3801 Plank Rd Ste B,Fredericksburg,VA,0.9962614185921548,0.77
full_agreement,08f2aab6ceb751890376e2d3a378384f,RVA Pizza,RVA Pizza,"{""primary"":""RVA Pizza""}","{""primary"":""RVA Pizza""}",9742 Gayton Rd,9742 Gayton Rd,Henrico,VA,0.9962614185921548,0.77
full_agreement,08f2aac8459ac21e03705a1502527e2d,Old Navy,Old Navy,"{""primary"":""Old Navy""}","{""primary"":""Old Navy""}",550 E Lancaster Ave,"550 E Lancaster Ave, Suite/Bldg A2",Radnor Twp,PA,0.9962614185921548,0.77
full_agreement,08f2aae32cd6e9ab0313673d87e2309c,"JH Engineering, LLC","JH Engineering, LLC","{""primary"":""JH Engineering, LLC""}","{""primary"":""JH Engineering, LLC""}",44 Glen Oak Ct,44 Glen Oak Ct,Westminster,MD,0.77,0.77
