id,alt_name,base_name,alt_len,base_len,len_diff_base_minus_alt,alt_word_count,base_word_count,word_diff_base_minus_alt,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence
08f1eb4d75b70952032fe68b67de3608,Panificio De Mattei,Panificio Saraceno di De Mattei,19,31,12,3,5,2,"Piazza Cristoforo Colombo, 9",Piazza Colombo Cristoforo 9,Sanremo,42,bakery,Dining and Drinking > Bakery,0.9837452982267598,1.0
08f1f10114810808039880fe9ebe7eaa,Kreutzer Taxi,"Kreutzer, Otto Taxidienst",13,25,12,2,3,1,Nienburger Str. 66,Nienburger Str. 66,Rehden,"",taxi_service,Travel and Transportation > Transportation Service > Taxi,0.77,1.0
08f27430d0a8b980030095869e58c225,Mishicot Fire Dept,Mishicot Volunteer Fire Depart,18,30,12,3,4,1,214 S Main St,"214 S Main St # 130",Mishicot,WI,fire_department,Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station,0.9645127118644068,1.0
08f29a4c756c0a6a03806f24e601e3ff,Alebrijes Restaurante Bar,Alebrijes bar,25,13,-12,3,2,-1,Avenida Revolución 557,Ave revolucion,Tijuana,,restaurant,Dining and Drinking > Bar > Beer Bar,0.9445655559015883,1.0
08f44c172aba3061037c50a9d048d1eb,Roto-Rooter Plumbing and Water Cleanup,Roto-Rooter Plumbing & Water Cleanup of Loganville,38,50,12,5,7,2,150 Athens Hwy,150 Athens Highway Ste 500,Loganville,GA,plumbing,plumbing,0.9803712632594022,0.77
1970324840260511,Courtyard Philadelphia Springfield,Courtyard by Marriott Philadelphia Springfield,34,46,12,3,5,2,400 West Sproul Road,400 W Sproul Rd,Springfield,PA,resort,resort,0.77,0.77
08f1e832b2d834640363c21800e2646c,Di Vicino Forni a Legna e a Gas,Di Vicino Forni Srls,31,20,-11,8,4,-4,"Via Dino Campana, 212",Via Campana 212- Quarto,Quarto,72,restaurant_equipment_and_supply,Dining and Drinking > Restaurant,0.9544061302681992,1.0
08f1fa92de5b0082037f3d436a2668d0,Schott-Rohrglas GmbH,SCHOTT AG,20,9,-11,2,2,0,Erich-Schott-Straße 14,Erich-Schott-Str. 14,Mitterteich,,event_planning,active_life,0.28671328671328666,0.77
08f2aac958c59b1b03fcabb8e82f50cf,"Scott J Morris, DMD",Scott J Morris Family Practice,19,30,11,4,5,1,1719 W Main St,1719 W Main St,West Norriton Twp,PA,dentist,cosmetic_dentist,0.9962614185921548,0.77
08f3961561d3094c038780c81f579575,Maison Nègre,Maison Artisanale Nègre,12,23,11,2,3,1,14 Rue de l'École,"14 rue de l'Ecole, les Vidals",Lacaune,,shopping,Retail > Food and Beverage Retail > Butcher,0.9645127118644068,1.0
1125899907949040,PPG Paints - Louisville Paint Store,PPG Paints - Paint Store,35,24,-11,6,5,-1,12721 Shelbyville Rd,12721 Shelbyville Rd,Louisville,KY,paint_store,paint_store,0.77,0.77
281474977374045,Interstate Battery,Interstate All Battery Center,18,29,11,2,4,2,52 Daniel Webster Hwy,52 Daniel Webster Hwy,Merrimack,NH,battery_store,battery_store,0.77,0.77
08f1e8828ac4a04b03e9df4bbc9c6e7f,"The Butcher's - Macelleria, Gastronomia e Braceria",The Butcher's - Macelleria e Gastronomia,50,40,-10,7,6,-1,"Via Vittorio Veneto, 4",Via Vittorio Veneto 4,Monopoli,75,butcher_shop,Dining and Drinking > Food Court,0.9645127118644068,1.0
08f1ea3c489b4273031b699369b01d32,Pasticceria Soriani,Pasticceria Monti & Nanni SNC,19,29,10,2,5,3,"Via Vittoria Colonna, 19",Via Colonna 19,Rimini,45,desserts,Dining and Drinking > Dessert Shop,0.9837452982267598,1.0
08f1fa9b74c33ccc039483228348fd42,Euronics hifiboehm Zeulenroda,EURONICS Zeulenroda,29,19,-10,3,2,-1,Markt 5,Markt 5,Zeulenroda-Triebes,TH,electronics,Retail > Computers and Electronics Retail > Electronics Store,0.6214335421016005,1.0
08f264d122640821036926d1ffe848b2,Bitcoin of America ATM,Bitcoin of America - Bitcoin ATM,22,32,10,4,6,2,726 McFerrin Ave,722 Mcferrin Avenue,Nashville,TN,atms,Business and Professional Services > Financial Service > Currency Exchange,0.48103896103896104,1.0
08f2a9d2d52ac008038bdf1686888347,Brandon Disney - State Farm Agent,Brandon Disney - State Farm Insurance Agent,33,43,10,6,7,1,513 Cherry St,513 Cherry St,Bluefield,WV,insurance_agency,Business and Professional Services > Financial Service,0.9837452982267598,1.0
08f2aac6eb4582ea0312c7b3c0c3b42c,Trinity Joppa,Trinity Lutheran Church,13,23,10,2,3,1,1100 Philadelphia Rd,1100 Philadelphia Rd,Joppa,MD,church_cathedral,church_cathedral,0.7927927927927928,0.9837452982267598
08fbe184e32632a503fa980d1ab35e1a,Kempsey Skip Bins,Kempsey Skips & Scrap Metal,17,27,10,3,5,2,9 Akubra Pl,9-11 Akubra Pl,South Kempsey,NSW,garbage_collection_service,Business and Professional Services > Home Improvement Service,0.8650306748466258,1.0
08f18252ed2e644003e208e0b4a322d1,Speedwell Family Support,Speedwell Trust,24,15,-9,3,2,-1,48 Parkanaur Road,57a Parkanaur Rd,Dungannon,NIR,charity_organization,Community and Government > Organization > Charity,0.3941504178272981,1.0
08f1e8439298263003d04efb18ab2497,Ristorante Pizzeria Cavour,Ristorante Cavour,26,17,-9,3,2,-1,"Corso Camillo Benso di Cavour, 21",Corso Cavour 21,Todi,55,pizza_restaurant,Dining and Drinking > Restaurant > Italian Restaurant,0.9908651262761956,1.0
08f2aaab4d4c0d620325d61d2ce778c7,Draeger Interlock,Draeger Ignition Interlock,17,26,9,2,3,1,7627 Fullerton Rd,7635 Fullerton Rd,Springfield,VA,automotive_parts_and_accessories,Business and Professional Services > Factory,0.28671328671328666,1.0
08f2b9864918641603e350d0663441fa,Sky Zone Whitby,Sky Zone Trampoline Park,15,24,9,3,4,1,240 S Blair St,240 South Blair Street,Whitby,ON,sports_and_recreation_venue,trampoline_park,0.9523423423423424,0.77
08f195ba26a456b20320b75eb5569034,Howards Dorchester,Howards Hyundai Dorchester,18,26,8,2,3,1,London Road,London Road,Dorchester,,car_dealer,automotive,0.9645127118644068,0.77
08f1f2e5048d164e03fd620dbb04a308,Lindell's Car Nissan,Lindells Bil,20,12,-8,3,2,-1,Fibergatan 3,Fiberg. 3,Billesholm,,automotive_repair,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.9645127118644068,1.0
08f2661881ba399603682b034d3b72e9,Western Boone Junior-Senior High School,Western Boone Jr-Sr High School,39,31,-8,5,5,0,1205 N IN-75,,Thorntown,IN,high_school,Community and Government > Education > Primary and Secondary School > High School,0.9645127118644068,1.0
08f26d150e91944a034f3b7432d8f3e2,Coin Cloud DCM,Coin Cloud Bitcoin ATM,14,22,8,3,4,1,2151 SE 34th Ave,2151 SE 34th Ave,Amarillo,TX,atms,,0.3941504178272981,1.0
08f28d10722001230319f908c02b1fbc,San Juan Safaris - Orca Whale Watching,San Juan Safari Whale Watching,38,30,-8,7,5,-2,10 Front St,2 Spring St Landing,Friday Harbor,WA,tours,Travel and Transportation > Boat or Ferry,0.9837452982267598,1.0
08f2986ab206c300039901e1848d8d8a,Safety-Kleen Systems,Safety Kleen,20,12,-8,2,2,0,4582 Donovan Way,4582 Donovan Way,North Las Vegas,NV,environmental_testing,Business and Professional Services > Waste Management Service,0.77,1.0
08f29a4d66d26d9903959dd6a159ac71,La Villa Cafe Bar,La Villa Con Sabor A Cafe,17,25,8,4,6,2,Boulevard Benito Juárez 4356,"Bulevar Benito Juarez #4356 Int #3",Playas de Rosarito,,cafe,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",0.9837452982267598,1.0
